名称,名称かな,所在地,TEL,FAX,URL,備考,郵便番号,施設ID,経度,緯度,分類
白島小学校,,広島市中区西白島町26番3号,082-221-3012,082-211-3519,http://www.hakushima-e.edu.city.hiroshima.jp/,,,A025000001,132.461490326956,34.4044337637814,市立小学校
基町小学校,,広島市中区基町20番2号,082-228-0193,082-228-4589,http://www.motomachi-e.edu.city.hiroshima.jp/index.htm,,,A025000002,132.456618796004,34.4030362581313,市立小学校
幟町小学校,,広島市中区幟町3番10号,082-221-3013,082-211-3509,http://www.noborichou-e.edu.city.hiroshima.jp/,,,A025000003,132.466524973064,34.3965277971639,市立小学校
袋町小学校,,広島市中区袋町6番36号,082-247-9241,082-240-1384,http://www.fukuromachi-e.edu.city.hiroshima.jp/,,,A025000004,132.458782831031,34.3918612711572,市立小学校
竹屋小学校,,広島市中区鶴見町8番49号,082-241-9138,082-248-3138,http://www.takeya-e.edu.city.hiroshima.jp/,,,A025000005,132.467145035953,34.3853397648501,市立小学校
千田小学校,,広島市中区東千田町二丁目1番34号,082-241-8623,082-248-2923,http://www.senda-e.edu.city.hiroshima.jp/,,,A025000006,132.459463629068,34.3798139617061,市立小学校
中島小学校,,広島市中区加古町10番8号,082-241-1757,082-248-3157,http://www.nakajima-e.edu.city.hiroshima.jp/,,,A025000007,132.448123049026,34.3868095454095,市立小学校
吉島東小学校,,広島市中区吉島東三丁目2番7号,082-249-1045,082-240-1382,http://www.yoshijimahigashi-e.edu.city.hiroshima.jp/,,,A025000008,132.452770911039,34.368391456559,市立小学校
吉島小学校,,広島市中区吉島西三丁目4番60号,082-241-4809,082-243-0283,http://www.yoshijima-e.edu.city.hiroshima.jp/,,,A025000009,132.444509722032,34.3721756275231,市立小学校
広瀬小学校,,広島市中区広瀬町2番8号,082-231-0680,082-234-0686,http://www.hirose-e.edu.city.hiroshima.jp/,,,A025000010,132.446306146043,34.4009931064715,市立小学校
本川小学校,,広島市中区本川町一丁目5番39号,082-232-3431,082-234-0910,http://www.honkawa-e.edu.city.hiroshima.jp/,,,A025000011,132.450530230117,34.3959112638576,市立小学校
神崎小学校,,広島市中区舟入中町1番36号,082-293-1925,082-294-1896,http://www.kanzaki-e.edu.city.hiroshima.jp/,,,A025000012,132.445467044034,34.3873465516029,市立小学校
舟入小学校,,広島市中区舟入南二丁目9番48号,082-232-1255,082-232-7422,http://www.funairi-e.edu.city.hiroshima.jp/,,,A025000013,132.437884425959,34.3797040066163,市立小学校
江波小学校,,広島市中区江波南二丁目2番53号,082-232-6349,082-232-3728,http://www.eba-e.edu.city.hiroshima.jp/,,,A025000014,132.43289643795,34.3645471204811,市立小学校
福木小学校,,広島市東区馬木九丁目1番2号,082-899-2511,082-899-7017,http://www.fukugi-e.edu.city.hiroshima.jp/,,,A025000015,132.53568685405,34.4459225920488,市立小学校
上温品小学校,,広島市東区上温品三丁目4番1号,082-289-2474,082-280-5469,http://www.kaminukushina-e.edu.city.hiroshima.jp/,,,A025000016,132.517031532076,34.4279283108738,市立小学校
温品小学校,,広島市東区温品七丁目8番8号,082-289-0255,082-280-5433,http://www.nukushina-e.edu.city.hiroshima.jp/,,,A025000017,132.510522119022,34.4160772547219,市立小学校
戸坂小学校,,広島市東区戸坂出江二丁目1番1号,082-229-0250,082-229-4961,http://www.hesaka-e.edu.city.hiroshima.jp/,,,A025000018,132.485650304013,34.435189356077,市立小学校
戸坂城山小学校,,広島市東区戸坂城山町1番2号,082-229-7000,082-229-8275,http://www.hesakashiroyama-e.edu.city.hiroshima.jp/,,,A025000019,132.488829588014,34.4298026178496,市立小学校
東浄小学校,,広島市東区中山新町二丁目8番1号,082-280-1745,082-280-4065,http://www.toujou-e.edu.city.hiroshima.jp/,,,A025000020,132.500281937071,34.4211069179131,市立小学校
中山小学校,,広島市東区中山東一丁目2番1号,082-289-2381,082-280-5149,http://www.nakayama-e.edu.city.hiroshima.jp/,,,A025000021,132.500244467996,34.4096584918806,市立小学校
牛田新町小学校,,広島市東区牛田新町一丁目15番1号,082-221-6299,082-211-3692,http://www.ushitashinmachi-e.edu.city.hiroshima.jp/,,,A025000022,132.470322409061,34.4192934387295,市立小学校
早稲田小学校,,広島市東区牛田早稲田四丁目9番1号,082-228-1140,082-228-4980,http://www.waseda-e.edu.city.hiroshima.jp/,,,A025000023,132.480641668058,34.4189475158091,市立小学校
牛田小学校,,広島市東区牛田旭一丁目14番45号,082-228-2592,082-228-9825,http://www.ushita-e.edu.city.hiroshima.jp/,,,A025000024,132.470809862938,34.4128998110274,市立小学校
尾長小学校,,広島市東区山根町21番10号,082-261-4242,082-263-5274,http://www.onaga-e.edu.city.hiroshima.jp/,,,A025000025,132.485417549914,34.3998654402891,市立小学校
矢賀小学校,,広島市東区矢賀二丁目10番67号,082-281-5347,082-288-5224,http://www.yaga-e.edu.city.hiroshima.jp/,,,A025000026,132.496175197981,34.3989727136735,市立小学校
荒神町小学校,,広島市南区西蟹屋三丁目7番27号,082-261-5760,082-263-6214,http://www.koujinmachi-e.edu.city.hiroshima.jp/,,,A025000027,132.47970115201,34.3927610602658,市立小学校
大州小学校,,広島市南区大州五丁目10番12号,082-281-8036,082-288-7114,http://www.ohzu-e.edu.city.hiroshima.jp/,,,A025000028,132.497027575105,34.3848889448722,市立小学校
青崎小学校,,広島市南区青崎一丁目15番51号,082-281-0370,082-288-7116,http://www.aosaki-e.edu.city.hiroshima.jp/,,,A025000029,132.506447860051,34.3725813959984,市立小学校
段原小学校,,広島市南区的場町二丁目4番19号,082-261-4245,082-261-9829,http://www.danbara-e.edu.city.hiroshima.jp/,,,A025000030,132.47358411103,34.3916510521475,市立小学校
比治山小学校,,広島市南区上東雲町28番28号,082-281-9474,082-288-7123,http://www.hijiyama-e.edu.city.hiroshima.jp/,,,A025000031,132.485088470016,34.3848301527541,市立小学校
皆実小学校,,広島市南区皆実町一丁目15番32号,082-251-2358,082-252-2338,http://www.minami-e.edu.city.hiroshima.jp/,,,A025000032,132.468148960106,34.3786684058782,市立小学校
翠町小学校,,広島市南区翠四丁目10番1号,082-253-0970,082-252-1480,http://midori-es.sakura.ne.jp/hp/htdocs/index.php,,,A025000033,132.474214432916,34.3683245682561,市立小学校
大河小学校,,広島市南区旭一丁目8番1号,082-253-4116,082-254-9385,http://www.ohkou-e.edu.city.hiroshima.jp/,,,A025000034,132.478426074065,34.3750350739844,市立小学校
黄金山小学校,,広島市南区北大河町35番1号,082-285-6322,082-288-7119,http://www.ougonzan-e.edu.city.hiroshima.jp/,,,A025000035,132.48211621805,34.3717640082599,市立小学校
仁保小学校,,広島市南区仁保新町二丁目8番30号,082-281-1314,082-581-2614,http://www.niho-e.edu.city.hiroshima.jp/,,,A025000036,132.494648609076,34.3754183464057,市立小学校
楠那小学校,,広島市南区楠那町5番7号,082-251-1618,082-252-2318,http://www.kusuna-e.edu.city.hiroshima.jp/,,,A025000037,132.48608760195,34.3627774088653,市立小学校
宇品東小学校,,広島市南区宇品東七丁目11番8号,082-253-5226,082-252-2026,http://www.ujinahigashi-e.edu.city.hiroshima.jp/,,,A025000038,132.468249707994,34.3578958895493,市立小学校
宇品小学校,,広島市南区宇品御幸四丁目5番11号,082-251-8304,082-252-2324,http://www.ujina-e.edu.city.hiroshima.jp/,,,A025000039,132.461175460912,34.3608294820366,市立小学校
元宇品小学校,,広島市南区元宇品町7番10号,082-251-4877,082-252-2633,http://www.motoujina-e.edu.city.hiroshima.jp/,,,A025000040,132.460308112028,34.3482450929911,市立小学校
似島小学校,,広島市南区似島町大黄2410,082-259-2411,082-259-2184,http://www.ninoshima-e.edu.city.hiroshima.jp/,,,A025000041,132.437649189046,34.3049235908849,市立小学校
似島学園小学校,,広島市南区似島町長谷1487,082-259-2311,082-259-1858,http://www.ninoshimagakuen-j.edu.city.hiroshima.jp/,,,A025000042,132.447008437137,34.3152264424519,市立小学校
向洋新町小学校,,広島市南区向洋新町一丁目6番2号,082-288-2600,082-288-2605,http://www.mukainadashinmachi-e.edu.city.hiroshima.jp/,,,A025000043,132.509288693971,34.3667140231976,市立小学校
大芝小学校,,広島市西区大芝一丁目25番18号,082-237-0258,082-237-1591,http://www.ohshiba-e.edu.city.hiroshima.jp/,,,A025000044,132.457059709035,34.4171645246856,市立小学校
三篠小学校,,広島市西区三篠町一丁目9番25号,082-237-2267,082-237-7197,http://www.misasa-e.edu.city.hiroshima.jp/,,,A025000045,132.450669457004,34.4124383585166,市立小学校
天満小学校,,広島市西区天満町1番27号,082-232-6269,082-234-7497,http://www.tenma-e.edu.city.hiroshima.jp/,,,A025000046,132.441379417006,34.3974940446879,市立小学校
観音小学校,,広島市西区観音本町二丁目1番26号,082-232-2361,082-232-3563,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e0934,,,A025000047,132.434831901975,34.3900826130046,市立小学校
南観音小学校,,広島市西区南観音六丁目5番45号,082-232-0494,082-234-0494,http://www.minamikanon-e.edu.city.hiroshima.jp/,,,A025000048,132.426713430937,34.3823727959474,市立小学校
己斐小学校,,広島市西区己斐上二丁目1番1号,082-271-4208,082-271-9248,http://www.koi-e.edu.city.hiroshima.jp/index.htm,,,A025000049,132.422131789022,34.4002332155442,市立小学校
己斐東小学校,,広島市西区己斐中三丁目127,082-272-8611,082-272-9646,http://www.koihigashi-e.edu.city.hiroshima.jp/,,,A025000050,132.425259536023,34.4066106280101,市立小学校
山田小学校,,広島市西区山田新町二丁目21番1号,082-272-5726,082-272-5664,http://www.yamata-e.edu.city.hiroshima.jp/,,,A025000051,132.386947108992,34.3980963294942,市立小学校
古田小学校,,広島市西区古江西町18番43号,082-271-5204,082-271-5954,http://www.furuta-e.edu.city.hiroshima.jp/,,,A025000052,132.407503612998,34.3870138939207,市立小学校
庚午小学校,,広島市西区庚午中一丁目15番1号,082-271-7000,082-271-7463,http://www.kougo-e.edu.city.hiroshima.jp/,,,A025000053,132.416833496967,34.3835476275905,市立小学校
草津小学校,,広島市西区草津東二丁目12番1号,082-271-6131,082-274-4836,http://www.kusatsu-e.edu.city.hiroshima.jp/,,,A025000054,132.405427229029,34.3817051755129,市立小学校
鈴が峰小学校,,広島市西区鈴が峰町36番2号,082-277-8160,082-277-8439,http://www.suzugamine-e.edu.city.hiroshima.jp/,,,A025000055,132.393320027029,34.3796967188348,市立小学校
井口小学校,,広島市西区井口二丁目13番1号,082-278-3204,082-278-8724,http://www.inokuchi-e.edu.city.hiroshima.jp/,,,A025000056,132.384366021047,34.3720899559503,市立小学校
井口明神小学校,,広島市西区井口明神一丁目13番1号,082-277-1430,082-277-5697,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e0946,,,A025000057,132.390471190045,34.3726195159917,市立小学校
己斐上小学校,,広島市西区己斐上六丁目455,082-272-4816,082-272-4891,http://www.koiue-e.edu.city.hiroshima.jp/index.htm,,,A025000058,132.425347950092,34.4170055676498,市立小学校
井口台小学校,,広島市西区井口台三丁目5番1号,082-278-0661,082-278-8751,http://www.inokuchidai-e.edu.city.hiroshima.jp/,,,A025000059,132.381750867124,34.3801619570231,市立小学校
高須小学校,,広島市西区高須四丁目16番1号,082-272-2737,082-272-2868,http://www.takasu-e.edu.city.hiroshima.jp/,,,A025000060,132.414690080016,34.3964758974898,市立小学校
古田台小学校,,広島市西区古田台一丁目5番1号,082-273-8541,082-273-8542,http://www.furutadai-e.edu.city.hiroshima.jp/,,,A025000061,132.403365324056,34.3920631916997,市立小学校
八木小学校,,広島市安佐南区八木九丁目17番1号,082-873-2010,082-873-1183,http://www.yagi-e.edu.city.hiroshima.jp/,,,A025000062,132.506272243998,34.4883470105118,市立小学校
緑井小学校,,広島市安佐南区緑井四丁目31番1号,082-877-0054,082-870-6354,http://www.midorii-e.edu.city.hiroshima.jp/,,,A025000063,132.472937063076,34.469869674568,市立小学校
川内小学校,,広島市安佐南区川内五丁目40番1号,082-877-0044,082-870-6348,http://www.kawauchi-e.edu.city.hiroshima.jp/index.htm,,,A025000064,132.48642358399,34.4646263210703,市立小学校
中筋小学校,,広島市安佐南区中筋二丁目15番5号,082-879-1350,082-870-6360,http://www.nakasuji-e.edu.city.hiroshima.jp/,,,A025000065,132.479202683997,34.4494270906059,市立小学校
古市小学校,,広島市安佐南区古市二丁目21番1号,082-877-1301,082-870-6391,http://www.furuichi-e.edu.city.hiroshima.jp/,,,A025000066,132.471783359994,34.454640163411,市立小学校
大町小学校,,広島市安佐南区大町西二丁目24番1号,082-877-5021,082-870-6371,http://www.ohmachi-e.edu.city.hiroshima.jp/,,,A025000067,132.46255769698,34.4574587106688,市立小学校
毘沙門台小学校,,広島市安佐南区毘沙門台三丁目1番1号,082-879-4041,082-870-6385,http://www.bisyamondai-e.edu.city.hiroshima.jp/,,,A025000068,132.465144337971,34.480119092169,市立小学校
安東小学校,,広島市安佐南区安東一丁目28番1号,082-878-3629,082-872-9739,http://www.yasuhigashi-e.edu.city.hiroshima.jp/,,,A025000069,132.458857134974,34.4741495607359,市立小学校
上安小学校,,広島市安佐南区上安5丁目21番52号,082-872-2761,082-872-9716,http://www.kamiyasu-e.edu.city.hiroshima.jp/,,,A025000070,132.447703040985,34.4854610961839,市立小学校
安小学校,,広島市安佐南区上安二丁目7番56号,082-878-8401,082-878-4996,http://www.yasu-e.edu.city.hiroshima.jp/,,,A025000071,132.442791905038,34.4733833021397,市立小学校
安北小学校,,広島市安佐南区高取北二丁目30番1号,082-872-0881,082-872-9681,http://www.yasukita-e.edu.city.hiroshima.jp/,,,A025000072,132.436000606999,34.4812501820381,市立小学校
安西小学校,,広島市安佐南区高取南二丁目18番1号,082-878-7301,082-872-9730,http://www.yasunishi-e.edu.city.hiroshima.jp/,,,A025000073,132.432453308995,34.4680451526203,市立小学校
祇園小学校,,広島市安佐南区祇園三丁目1番27号,082-874-0034,082-874-8504,http://www.gion-e.edu.city.hiroshima.jp/,,,A025000074,132.464076251011,34.4426794981484,市立小学校
山本小学校,,広島市安佐南区山本三丁目13番1号,082-874-0136,082-874-3785,http://www.yamamoto-e.edu.city.hiroshima.jp/,,,A025000075,132.452972772981,34.438330809223,市立小学校
長束小学校,,広島市安佐南区長束四丁目15番1号,082-239-1764,082-239-7614,http://www.nagatsuka-e.edu.city.hiroshima.jp/index.htm,,,A025000076,132.454929521999,34.4272241814524,市立小学校
原小学校,,広島市安佐南区西原六丁目29番6号,082-874-0038,082-874-9156,http://www.hara-e.edu.city.hiroshima.jp/index.htm,,,A025000077,132.470254278999,34.4396156937335,市立小学校
原南小学校,,広島市安佐南区西原二丁目19番23号,082-875-4811,082-875-4951,http://www.haraminami-e.edu.city.hiroshima.jp/index.htm,,,A025000078,132.466934628018,34.4315132022812,市立小学校
戸山小学校,,広島市安佐南区沼田町大字阿戸3722,082-839-2006,082-839-3342,http://www.toyama-e.edu.city.hiroshima.jp/,,,A025000079,132.353864354027,34.4828609951479,市立小学校
伴小学校,,広島市安佐南区沼田町大字伴6153,082-848-0002,082-848-9532,http://www.tomo-e.edu.city.hiroshima.jp/index2.htm,,,A025000080,132.40761956395,34.4616934081833,市立小学校
梅林小学校,,広島市安佐南区八木三丁目3番9号,082-873-6167,082-873-1167,http://www.bairin-e.edu.city.hiroshima.jp/,,,A025000081,132.491963893918,34.480484101644,市立小学校
伴東小学校,,広島市安佐南区沼田町伴179-1,082-848-2061,082-848-9541,http://www.tomohigashi-e.edu.city.hiroshima.jp/,,,A025000082,132.420630530969,34.4628371730371,市立小学校
長束西小学校,,広島市安佐南区長束西一丁目26番1号,082-239-3922,082-239-3412,http://www.nagatsukanishi-e.edu.city.hiroshima.jp/,,,A025000083,132.448710281946,34.4284598307089,市立小学校
大塚小学校,,広島市安佐南区大塚西六丁目1番1号,082-848-6641,082-848-7030,http://www.ohzuka-e.edu.city.hiroshima.jp/,,,A025000084,132.392339320007,34.4489557836289,市立小学校
伴南小学校,,広島市安佐南区伴南一丁目29番1号,082-848-9971,082-848-9972,http://www.tomominami-e.edu.city.hiroshima.jp/,,,A025000085,132.384284278937,34.4513447075159,市立小学校
東野小学校,,広島市安佐南区東野一丁目7番1号,082-870-6801,082-870-6805,http://www.higashino-e.edu.city.hiroshima.jp/,,,A025000086,132.485061776106,34.4455506474773,市立小学校
春日野小学校,,広島市安佐南区山本新町二丁目18番1号,082-832-5616,082-871-4112,http://www.kasugano-e.edu.city.hiroshima.jp/,,,A025000087,132.433894302912,34.4416949161961,市立小学校
井原小学校,,広島市安佐北区白木町大字井原825,082-828-0008,082-828-0480,http://www.ibara-e.edu.city.hiroshima.jp/,,,A025000088,132.67724313997,34.5861813225086,市立小学校
志屋小学校,,広島市安佐北区白木町大字志路3890-1,082-828-0059,082-828-2859,http://www.shiya-e.edu.city.hiroshima.jp/,,,A025000089,132.617841935107,34.5783317344653,市立小学校
高南小学校,,広島市安佐北区白木町大字秋山1188,082-828-0504,082-828-0302,http://www.kounan-e.edu.city.hiroshima.jp/,,,A025000090,132.658892323974,34.5501366872488,市立小学校
三田小学校,,広島市安佐北区白木町大字三田2649,082-829-0007,082-829-0696,http://www.mita-e.edu.city.hiroshima.jp/,,,A025000091,132.611660562105,34.5128807272822,市立小学校
狩小川小学校,,広島市安佐北区上深川町1345,082-844-0023,082-844-1753,http://www.kakogawa-e.edu.city.hiroshima.jp/,,,A025000092,132.566728636034,34.481547573825,市立小学校
深川小学校,,広島市安佐北区深川五丁目12番1号,082-842-0021,082-842-9481,http://www.fukawa-e.edu.city.hiroshima.jp/,,,A025000093,132.53066719806,34.4822554181419,市立小学校
亀崎小学校,,広島市安佐北区亀崎四丁目2番1号,082-843-1370,082-843-8649,http://www.kamezaki-e.edu.city.hiroshima.jp/,,,A025000094,132.525104418041,34.4831807919975,市立小学校
真亀小学校,,広島市安佐北区真亀五丁目28番1号,082-842-4073,082-842-2549,http://www.magame-e.edu.city.hiroshima.jp/,,,A025000095,132.518043412036,34.4830049075312,市立小学校
落合東小学校,,広島市安佐北区落合四丁目13番1号,082-842-2737,082-842-9737,http://www.ochiaihigashi-e.edu.city.hiroshima.jp/,,,A025000096,132.515027510026,34.4754590019021,市立小学校
落合小学校,,広島市安佐北区落合南二丁目13番1号,082-842-0162,082-842-9482,http://www.ochiai-e.edu.city.hiroshima.jp/,,,A025000097,132.513588133022,34.4667012335238,市立小学校
口田東小学校,,広島市安佐北区口田二丁目1番1号,082-843-4864,082-843-1274,http://www.kuchitahigashi-e.edu.city.hiroshima.jp/,,,A025000098,132.501856185982,34.4693396363721,市立小学校
口田小学校,,広島市安佐北区口田南二丁目7番2号,082-842-0402,082-842-9742,http://www.kuchita-e.edu.city.hiroshima.jp/,,,A025000099,132.496018376069,34.4583576290736,市立小学校
大林小学校,,広島市安佐北区大林四丁目14番1号,082-818-2403,082-818-5743,http://www.ohbayashi-e.edu.city.hiroshima.jp/,,,A025000100,132.546192065984,34.5548477548827,市立小学校
三入小学校,,広島市安佐北区三入三丁目12番1号,082-818-1875,082-818-4857,http://www.miiri-e.edu.city.hiroshima.jp/index.htm,,,A025000101,132.526884485992,34.5393043700935,市立小学校
可部小学校,,広島市安佐北区可部四丁目9番1号,082-814-2428,082-815-9228,http://www.kabe-e.edu.city.hiroshima.jp/,,,A025000102,132.509732966913,34.518528302727,市立小学校
可部南小学校,,広島市安佐北区可部南二丁目11番1号,082-814-4101,082-815-9641,http://www.kabeminami-e.edu.city.hiroshima.jp/,,,A025000103,132.516768642067,34.5041940188617,市立小学校
亀山小学校,,広島市安佐北区亀山五丁目11番1号,082-812-2264,082-815-9664,http://www.kameyama-e.edu.city.hiroshima.jp/,,,A025000104,132.495548656065,34.5269592232594,市立小学校
亀山南小学校,,広島市安佐北区亀山南三丁目28番2号,082-814-8835,082-815-9235,http://www.kameyamaminami-e.edu.city.hiroshima.jp/,,,A025000105,132.49390849408,34.5204256133472,市立小学校
鈴張小学校,,広島市安佐北区安佐町大字鈴張1896,082-835-1017,082-835-3927,http://www.suzuhari-e.edu.city.hiroshima.jp/,,,A025000106,132.460615140029,34.5838134317647,市立小学校
飯室小学校,,広島市安佐北区安佐町大字飯室1544,082-835-0005,082-835-0627,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e0992,,,A025000107,132.445131792059,34.5519686876137,市立小学校
筒瀬小学校,,広島市安佐北区安佐町筒瀬1598,082-838-1026,082-838-2956,http://www.tsutsuse-e.edu.city.hiroshima.jp/,,,A025000108,132.470564138949,34.4963837170552,市立小学校
日浦小学校,,広島市安佐北区あさひが丘七丁目12番1号,082-838-1004,082-838-0751,http://www.hiura-e.edu.city.hiroshima.jp/,,,A025000109,132.439123019056,34.50792924307,市立小学校
久地南小学校,,広島市安佐北区安佐町大字くすの木台55-1,082-837-1702,082-837-1739,http://www.kuchiminami-e.edu.city.hiroshima.jp/,,,A025000110,132.392972720022,34.4999247331555,市立小学校
倉掛小学校,,広島市安佐北区倉掛一丁目13番1号,082-843-0201,082-843-0492,http://www.kurakake-e.edu.city.hiroshima.jp/,,,A025000111,132.528318615981,34.4730690796446,市立小学校
三入東小学校,,広島市安佐北区三入東一丁目3番1号,082-818-1755,082-818-3945,http://www.miirihigashi-e.edu.city.hiroshima.jp/,,,A025000112,132.53471821604,34.5353693878293,市立小学校
瀬野小学校,,広島市安芸区瀬野一丁目35番32号,082-894-8007,082-894-3474,http://www.seno-e.edu.city.hiroshima.jp/,,,A025000113,132.606984144045,34.421805317023,市立小学校
中野東小学校,,広島市安芸区中野五丁目11番1号,082-893-0204,082-893-1154,http://www.nakanohigashi-e.edu.city.hiroshima.jp/,,,A025000114,132.580941133046,34.4038640811225,市立小学校
中野小学校,,広島市安芸区中野四丁目21番1号,082-892-0011,082-893-1149,http://www.nakano-e.edu.city.hiroshima.jp/,,,A025000115,132.573877037053,34.3991454924617,市立小学校
畑賀小学校,,広島市安芸区畑賀三丁目28番16号,082-827-0092,082-827-0197,http://www.hataka-e.edu.city.hiroshima.jp/,,,A025000116,132.550326731979,34.393937298195,市立小学校
阿戸小学校,,広島市安芸区阿戸町2862-1,082-856-0104,082-856-0371,http://www.ato-e.edu.city.hiroshima.jp/,,,A025000117,132.626651109928,34.3849074870929,市立小学校
船越小学校,,広島市安芸区船越五丁目22番11号,082-822-4646,082-822-4634,http://www.funakoshi-e.edu.city.hiroshima.jp/,,,A025000118,132.52674997005,34.3748406289086,市立小学校
矢野西小学校,,広島市安芸区矢野西四丁目5番1号,082-888-6601,082-888-7531,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e1004,,,A025000119,132.533665626972,34.3502567892216,市立小学校
矢野小学校,,広島市安芸区矢野西六丁目11番1号,082-888-0048,082-888-7548,http://www.yano-e.edu.city.hiroshima.jp/index.html,,,A025000120,132.535261703966,34.3478829409886,市立小学校
矢野南小学校,,広島市安芸区矢野南四丁目17番1号,082-888-6811,082-888-6822,http://www.yanominami-e.edu.city.hiroshima.jp/,,,A025000121,132.534312839063,34.3379707845391,市立小学校
みどり坂小学校,,広島市安芸区瀬野西一丁目38番1号,082-894-9111,082-894-5541,http://midorizaka-e.sakura.ne.jp/hp/,,,A025000122,132.589950827991,34.4268196731654,市立小学校
石内小学校,,広島市佐伯区五日市町大字石内3276,082-941-0217,082-941-4014,http://www.ishiuchi-e.edu.city.hiroshima.jp/index.htm,,,A025000123,132.38426295592,34.4193092936662,市立小学校
河内小学校,,広島市佐伯区五日市町大字上河内371,082-928-0218,082-928-9858,http://www.kouchi-e.edu.city.hiroshima.jp/,,,A025000124,132.352224898981,34.4131722403503,市立小学校
八幡小学校,,広島市佐伯区八幡二丁目2番1号,082-928-8000,082-928-4480,http://www.yahata-e.edu.city.hiroshima.jp/index.htm,,,A025000125,132.357509730013,34.3921090457908,市立小学校
八幡東小学校,,広島市佐伯区八幡東四丁目27番1号,082-928-7261,082-928-4571,http://www.yahatahigashi-e.edu.city.hiroshima.jp/,,,A025000126,132.365476674058,34.3941532362426,市立小学校
五日市観音西小学校,,広島市佐伯区坪井三丁目877,082-921-1171,082-923-9471,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e1014,,,A025000127,132.338608281068,34.3816611330746,市立小学校
五日市観音小学校,,広島市佐伯区三宅四丁目10番1号,082-921-2261,082-923-9641,http://www.itsukaichikannon-e.edu.city.hiroshima.jp/,,,A025000128,132.349336356043,34.3737102608888,市立小学校
五月が丘小学校,,広島市佐伯区五月が丘二丁目22-1,082-941-2820,082-941-4436,http://www.satsukigaoka-e.edu.city.hiroshima.jp/,,,A025000129,132.405613020066,34.4228292500722,市立小学校
美鈴が丘小学校,,広島市佐伯区美鈴が丘西一丁目8番1号,082-928-4311,082-928-4432,http://www.misuzugaoka-e.edu.city.hiroshima.jp/,,,A025000130,132.380436432078,34.3919759903751,市立小学校
五日市中央小学校,,広島市佐伯区五日市中央三丁目12番1号,082-921-4555,082-921-1270,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e1016,,,A025000131,132.352851880129,34.3690092150835,市立小学校
五日市小学校,,広島市佐伯区五日市三丁目1番1号,082-921-3288,082-923-9744,http://www.itsukaichi-e.edu.city.hiroshima.jp/,,,A025000132,132.361191007138,34.368598164612,市立小学校
五日市東小学校,,広島市佐伯区皆賀二丁目3番1号,082-923-2711,082-921-1348,http://www.itsukaichihigashi-e.edu.city.hiroshima.jp/index.htm,,,A025000133,132.368584885045,34.3752816089287,市立小学校
五日市南小学校,,広島市佐伯区海老園三丁目18番1号,082-922-5138,082-922-9658,http://www.itsukaichiminami-e.edu.city.hiroshima.jp/,,,A025000134,132.357373364998,34.3611922102319,市立小学校
楽々園小学校,,広島市佐伯区楽々園六丁目8番1号,082-924-5221,082-924-9981,http://www.rakurakuen-e.edu.city.hiroshima.jp/,,,A025000135,132.354144604996,34.3574653424276,市立小学校
藤の木小学校,,広島市佐伯区藤の木二丁目2番1号,082-927-4545,082-927-9254,http://www.fujinoki-e.edu.city.hiroshima.jp/,,,A025000136,132.364178598017,34.4263730773011,市立小学校
彩が丘小学校,,広島市佐伯区河内南二丁目10番1号,082-928-1239,082-928-4538,http://www.ayagaoka-e.edu.city.hiroshima.jp/,,,A025000137,132.344021513977,34.4102546491358,市立小学校
湯来東小学校,,広島市佐伯区湯来町麦谷1803-1,0829-83-0513,0829-83-0213,http://www.yukihigashi-e.edu.city.hiroshima.jp/,,,A025000138,132.31609971901,34.5256693366954,市立小学校
湯来西小学校,,広島市佐伯区湯来町多田2416,0829-85-0315,0829-85-0139,http://www.yukinishi-e.edu.city.hiroshima.jp/,,,A025000139,132.233882513057,34.4699436110457,市立小学校
湯来南小学校,,広島市佐伯区湯来町白砂3555-1,0829-86-0611,0829-86-1771,http://www.yukiminami-e.edu.city.hiroshima.jp/,,,A025000140,132.29003832801,34.4334771423777,市立小学校
石内北小学校,,広島市佐伯区石内北三丁目23番1号,082-941-5007,082-941-0730,http://cms.edu.city.hiroshima.jp/weblog/index.php?id=e2819,,,A025000141,132.385959853047,34.4433181572717,市立小学校