表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,
公開日：,2023年06月20日,,,,,,,,,,,
,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,
,,,,,,,,,,,,
,,,,/項目 コード,A1101,,A1407,,A1420,,A1700,
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈,A1407_0～17歳人口【人】,注釈,A1420_85歳以上人口【人】,注釈,A1700_外国人人口【人】,注釈
2020100000,2020年度,34101,広島県 広島市 中区,,"142,699",,"17,712",,"5,524",,"3,925",
2020100000,2020年度,34106,広島県 広島市 安佐北区,,"138,979",,"19,849",,"7,340",,"1,865",
2015100000,2015年度,34101,広島県 広島市 中区,,"136,640",,"17,095",,"4,439",,"3,369",
2015100000,2015年度,34106,広島県 広島市 安佐北区,,"145,018",,"22,480",,"5,808",,"1,319",
2010100000,2010年度,34101,広島県 広島市 中区,,"130,482",,"15,343",,***,,"3,139",
2010100000,2010年度,34106,広島県 広島市 安佐北区,,"149,633",,"25,016",,***,,"1,272",
2005100000,2005年度,34101,広島県 広島市 中区,,"127,763",,"16,111",,***,,"3,029",
2005100000,2005年度,34106,広島県 広島市 安佐北区,,"152,716",,"27,412",,***,,"1,066",
2000100000,2000年度,34101,広島県 広島市 中区,,"124,719",,"17,501",,***,,"2,633",
2000100000,2000年度,34106,広島県 広島市 安佐北区,,"156,387",,"31,734",,***,,"1,036",
1995100000,1995年度,34101,広島県 広島市 中区,,"128,360",,***,,***,,"2,523",
1995100000,1995年度,34106,広島県 広島市 安佐北区,,"154,079",,***,,***,,897,
1990100000,1990年度,34101,広島県 広島市 中区,,"134,651",,***,,***,,"2,312",
1990100000,1990年度,34106,広島県 広島市 安佐北区,,"144,745",,***,,***,,735,
1985100000,1985年度,34101,広島県 広島市 中区,,"135,883",,***,,***,,"2,073",
1985100000,1985年度,34106,広島県 広島市 安佐北区,,"131,211",,***,,***,,646,
1980100000,1980年度,34101,広島県 広島市 中区,,"138,486",,***,,***,,"2,128",
1980100000,1980年度,34106,広島県 広島市 安佐北区,,"113,238",,***,,***,,569,